CustomerID,ProductID,ReviewDate,Rating,ReviewText,Sentiment
77,18,2023-12-23,3,"Average  experience,  nothing  special.",Positive
80,19,2024-12-25,5,The  quality  is    top-notch.,Positive
50,13,2025-01-26,4,Five  stars  for  the  quick  delivery.,Positive
78,15,2025-04-21,3,"Good  quality,  but  could  be  cheaper.",Positive
64,2,2023-07-16,3,"Average  experience,  nothing  special.",Positive
81,1,2025-12-21,4,Customer  support  was  very  helpful.,Positive
16,1,2024-01-29,3,"Average  experience,  nothing  special.",Positive
55,8,2024-08-15,5,The  quality    is  top-notch.,Positive
3,13,2023-09-01,4,"I  love  this  product,  will  buy  again!",Positive
78,6,2024-06-17,5,"Excellent  product,  highly  recommend!",Positive
54,9,2023-07-17,4,"Great  purchase,  very  satisfied.",Positive
77,2,2025-01-13,2,Product  did    not  meet  my  expectations.,Neutral
93,6,2024-08-20,5,"Great  purchase,  very  satisfied.",Positive
23,2,2025-06-16,4,"Good  quality,  but  could  be  cheaper.",Positive
29,11,2023-01-27,5,"Great  purchase,  very  satisfied.",Positive
95,17,2023-01-06,5,"Excellent  product,  highly  recommend!",Positive
88,4,2025-10-29,3,Not  worth  the  money.,Negative
17,16,2024-11-23,4,Shipping  was  fast  and  the  item  was  well-packaged.,Positive
34,13,2024-01-04,4,The  quality  is  top-notch.,Positive
34,6,2023-04-29,1,I  had  a  bad  experience  with  this  product.,Negative
22,15,2023-04-08,5,Amazing  value  for  the  price.,Positive
52,3,2025-10-30,4,The  quality  is  top-notch.,Positive
69,18,2023-07-02,5,Five  stars  for  the  quick  delivery.,Positive
100,4,2025-07-18,3,"I  love  this    product,  will  buy  again!",Positive
55,20,2024-12-19,4,Shipping  was  fast  and  the  item  was  well-packaged.,Positive
76,11,2024-08-21,4,Five  stars  for  the  quick  delivery.,Positive
56,6,2025-11-24,4,The  quality  is  top-notch.,Positive
76,8,2025-05-27,5,Five  stars  for  the  quick  delivery.,Positive
38,13,2023-05-31,4,"I  love  this  product,  will  buy  again!",Positive
84,6,2024-03-18,4,Five  stars  for  the  quick  delivery.,Positive
93,4,2025-08-25,3,"Good  quality,  but  could  be    cheaper.",Positive
91,1,2023-07-15,4,The  quality  is  top-notch.,Positive
30,2,2023-02-21,4,Shipping  was  fast  and  the  item  was  well-packaged.,Positive
81,15,2024-03-30,5,"Excellent  product,  highly  recommend!",Positive
27,12,2024-03-13,3,"Average  experience,  nothing  special.",Positive
96,9,2025-12-05,3,"Good  quality,  but  could  be  cheaper.",Positive
38,3,2023-09-11,3,"Average  experience,  nothing    special.",Positive
45,17,2024-05-07,5,"Great  purchase,  very  satisfied.",Positive
54,1,2023-10-02,5,Customer  support  was  very  helpful.,Positive
33,2,2025-01-03,5,Five  stars    for  the  quick  delivery.,Positive
93,17,2025-05-15,3,"Average  experience,  nothing  special.",Positive
72,15,2023-03-21,5,Five  stars  for  the  quick  delivery.,Positive
84,15,2025-02-02,4,Exceeded  my    expectations!,Neutral
44,17,2023-04-20,5,"Excellent  product,    highly  recommend!",Positive
11,16,2023-03-23,3,Not  worth  the  money.,Negative
27,5,2025-05-07,4,Five  stars  for  the  quick  delivery.,Positive
19,13,2024-06-01,4,Five  stars  for  the  quick  delivery.,Positive
70,17,2023-10-08,4,Shipping  was  fast  and  the  item    was  well-packaged.,Positive
3,7,2025-06-09,3,"Good  quality,  but  could    be  cheaper.",Positive
62,4,2023-01-07,1,The  product  stopped  working  after  a  month.,Neutral
49,17,2023-04-14,4,Five  stars  for  the  quick  delivery.,Positive
75,11,2024-04-07,4,"I  love  this  product,  will  buy  again!",Positive
73,18,2025-12-28,4,Five  stars  for    the  quick  delivery.,Positive
33,8,2023-05-03,5,"Excellent  product,  highly  recommend!",Positive
57,9,2025-11-03,3,Customer  support  was    very  helpful.,Positive
15,10,2025-12-11,3,Shipping  was  fast  and  the  item  was  well-packaged.,Positive
41,10,2024-04-06,2,Disappointed  with  the  performance.,Negative
78,7,2024-07-16,2,"The  product    is  okay,  but  the  instructions  were  unclear.",Positive
98,9,2024-09-01,4,The  build  quality  is  impressive.,Positive
11,16,2023-12-27,4,"Great  purchase,  very  satisfied.",Positive
50,19,2023-02-24,4,"Great  purchase,    very  satisfied.",Positive
35,17,2023-03-18,2,"Average  experience,  nothing  special.",Positive
