EngagementID,ContentID,ContentType,Likes,EngagementDate,CampaignID,ProductID,ViewsClicksCombined,ContentType_Clean,Views,Clicks,EngagementDate_Formatted
1,39,Blog,190,2023-08-30,1,9,1883-671,BLOG,1883,671,30.08.2023
2,48,Blog,114,2023-03-28,18,20,5280-532,BLOG,5280,532,28.03.2023
3,16,video,32,2023-12-08,7,14,1905-204,VIDEO,1905,204,08.12.2023
4,43,Video,17,2025-01-21,19,20,2766-257,VIDEO,2766,257,21.01.2025
5,16,newsletter,306,2024-02-21,6,15,5116-1524,NEWSLETTER,5116,1524,21.02.2024
6,32,Socialmedia,648,2023-06-18,18,19,8237-1641,SOCIAL MEDIA,8237,1641,18.06.2023
7,33,SOCIALMEDIA,1,2025-10-01,12,2,750-34,SOCIAL MEDIA,750,34,01.10.2025
8,47,Blog,1,2025-03-31,17,6,891-35,BLOG,891,35,31.03.2025
9,48,blog,123,2024-03-19,13,16,5571-1527,BLOG,5571,1527,19.03.2024
10,4,Blog,25,2023-12-03,15,15,4279-297,BLOG,4279,297,03.12.2023
11,38,Socialmedia,29,2024-05-26,19,6,4297-234,SOCIAL MEDIA,4297,234,26.05.2024
12,29,socialmedia,396,2023-06-15,3,10,7877-2037,SOCIAL MEDIA,7877,2037,15.06.2023
13,14,video,12,2025-02-04,12,18,1796-136,VIDEO,1796,136,04.02.2025
14,2,Socialmedia,317,2023-08-26,16,2,6837-2251,SOCIAL MEDIA,6837,2251,26.08.2023
15,16,Socialmedia,0,2025-10-20,6,19,36-1,SOCIAL MEDIA,36,1,20.10.2025
16,2,SOCIALMEDIA,276,2023-07-06,17,16,5980-1227,SOCIAL MEDIA,5980,1227,06.07.2023
17,35,BLOG,9,2024-05-17,18,10,563-104,BLOG,563,104,17.05.2024
18,12,Video,0,2024-10-26,19,8,321-15,VIDEO,321,15,26.10.2024
19,30,Newsletter,118,2023-10-29,11,9,1442-400,NEWSLETTER,1442,400,29.10.2023
20,35,BLOG,0,2024-10-07,4,6,41-7,BLOG,41,7,07.10.2024
21,26,Blog,7,2024-12-28,1,6,1037-111,BLOG,1037,111,28.12.2024
22,11,video,357,2024-04-04,12,16,5543-1288,VIDEO,5543,1288,04.04.2024
23,21,Newsletter,4,2024-12-27,8,18,522-43,NEWSLETTER,522,43,27.12.2024
24,38,Newsletter,65,2024-05-20,8,16,3651-377,NEWSLETTER,3651,377,20.05.2024
25,33,Newsletter,0,2025-11-17,6,10,487-5,NEWSLETTER,487,5,17.11.2025
26,31,Video,2,2025-06-04,20,20,1742-71,VIDEO,1742,71,04.06.2025
27,42,Video,72,2024-07-27,4,3,3225-337,VIDEO,3225,337,27.07.2024
28,29,Socialmedia,7,2023-12-22,2,16,165-48,SOCIAL MEDIA,165,48,22.12.2023
29,15,video,0,2025-08-02,17,20,58-2,VIDEO,58,2,02.08.2025
30,29,Newsletter,14,2024-09-10,20,17,1010-196,NEWSLETTER,1010,196,10.09.2024
31,1,socialmedia,2,2025-06-10,4,4,1079-44,SOCIAL MEDIA,1079,44,10.06.2025
32,37,blog,0,2025-11-04,19,16,441-9,BLOG,441,9,04.11.2025
