JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
2040,1,1,2023-03-11,HOMEPAGE,Click,26.0
3077,1,1,2024-03-18,HOMEPAGE,View,66.0
3388,1,1,2024-06-28,HOMEPAGE,Click,18.0
577,1,1,2025-12-17,HOMEPAGE,Click,115.0
3312,1,2,2023-03-03,PRODUCTPAGE,View,40.0
3696,1,2,2024-02-10,PRODUCTPAGE,View,231.0
2124,1,3,2023-09-23,PRODUCTPAGE,View,161.0
1548,1,3,2024-11-06,HOMEPAGE,View,238.0
2696,1,3,2025-07-09,PRODUCTPAGE,View,110.0
3344,1,5,2023-07-20,CHECKOUT,Drop-off,187.6
2490,1,6,2023-02-19,PRODUCTPAGE,View,196.0
1929,1,6,2025-06-25,CHECKOUT,Drop-off,185.4
55,1,7,2024-03-17,CHECKOUT,Drop-off,226.0
2271,1,7,2025-09-17,CHECKOUT,Drop-off,209.0
2187,1,9,2024-10-23,CHECKOUT,Purchase,10.0
1451,1,9,2025-01-25,CHECKOUT,Drop-off,144.0
2473,1,10,2023-02-12,CHECKOUT,Purchase,271.0
1649,1,10,2023-06-21,CHECKOUT,Drop-off,74.75
380,1,11,2023-05-29,CHECKOUT,Drop-off,198.0
2265,1,11,2024-09-01,HOMEPAGE,View,15.0
3803,1,11,2025-08-10,PRODUCTPAGE,View,283.0
685,1,12,2023-07-11,HOMEPAGE,View,22.0
1904,1,14,2025-11-15,HOMEPAGE,View,110.0
3174,1,15,2023-05-01,HOMEPAGE,View,239.0
2556,1,15,2024-06-15,PRODUCTPAGE,View,125.0
2103,1,17,2024-01-29,HOMEPAGE,Click,211.0
3666,1,17,2024-03-07,HOMEPAGE,Click,233.0
1836,1,17,2025-02-21,HOMEPAGE,View,289.0
2024,1,18,2025-09-09,PRODUCTPAGE,View,114.0
762,1,19,2024-06-07,CHECKOUT,Drop-off,46.0
2072,1,20,2023-05-29,CHECKOUT,Drop-off,198.0
816,1,20,2023-12-17,HOMEPAGE,Click,71.0
2547,1,20,2024-01-10,PRODUCTPAGE,Click,70.0
561,1,20,2025-07-04,HOMEPAGE,Click,225.0
28,1,20,2025-09-26,PRODUCTPAGE,View,64.0
2961,2,1,2024-03-07,CHECKOUT,Drop-off,147.66666666666666
1960,2,2,2023-09-24,HOMEPAGE,Click,101.0
87,2,2,2023-09-25,HOMEPAGE,View,277.0
381,2,3,2024-03-23,PRODUCTPAGE,View,187.0
1291,2,3,2025-07-09,PRODUCTPAGE,View,88.0
2560,2,3,2025-10-25,CHECKOUT,Drop-off,244.0
1965,2,3,2025-11-22,HOMEPAGE,View,73.0
33,2,5,2025-08-10,HOMEPAGE,View,26.0
2745,2,7,2024-02-26,HOMEPAGE,Click,203.0
1527,2,7,2024-10-24,HOMEPAGE,View,22.0
440,2,7,2025-10-12,PRODUCTPAGE,View,187.0
1840,2,8,2023-03-16,HOMEPAGE,View,195.0
331,2,8,2025-05-07,PRODUCTPAGE,View,128.0
585,2,9,2023-01-12,HOMEPAGE,View,250.0
1747,2,9,2023-02-08,HOMEPAGE,Click,288.0
3684,2,9,2024-08-31,HOMEPAGE,Click,217.0
3930,2,9,2024-09-22,HOMEPAGE,Click,260.0
1752,2,9,2025-07-12,PRODUCTPAGE,View,257.0
3141,2,10,2024-12-27,PRODUCTPAGE,View,218.0
1806,2,11,2025-01-11,HOMEPAGE,View,256.0
384,2,12,2024-09-24,CHECKOUT,Drop-off,137.66666666666666
3000,2,12,2025-03-25,HOMEPAGE,View,68.0
1673,2,12,2025-08-23,PRODUCTPAGE,Click,275.0
1917,2,13,2025-01-21,CHECKOUT,Drop-off,159.0
1787,2,14,2023-02-16,PRODUCTPAGE,View,163.0
877,2,14,2025-11-14,CHECKOUT,Drop-off,26.0
1589,2,15,2023-08-04,PRODUCTPAGE,View,38.0
832,2,15,2023-11-26,PRODUCTPAGE,View,14.0
359,2,17,2024-03-16,HOMEPAGE,View,141.0
2399,2,17,2024-03-20,CHECKOUT,Purchase,197.0
1786,2,18,2025-01-18,CHECKOUT,Drop-off,164.33333333333334
1856,2,19,2024-07-25,PRODUCTPAGE,View,216.0
3104,2,20,2023-04-05,HOMEPAGE,View,21.0
3080,3,1,2023-01-08,HOMEPAGE,View,66.0
2467,3,1,2024-03-01,HOMEPAGE,View,205.0
1831,3,2,2023-11-13,HOMEPAGE,View,56.0
264,3,2,2024-09-05,PRODUCTPAGE,View,222.0
2802,3,3,2023-01-20,HOMEPAGE,View,131.0
3901,3,4,2023-05-01,HOMEPAGE,View,69.0
441,3,5,2023-05-23,PRODUCTPAGE,View,51.0
3126,3,5,2023-06-16,PRODUCTPAGE,View,132.0
244,3,5,2025-04-24,PRODUCTPAGE,Click,187.0
3694,3,6,2024-03-18,HOMEPAGE,View,264.0
3548,3,6,2024-09-29,CHECKOUT,Purchase,295.0
3324,3,6,2025-03-06,HOMEPAGE,View,212.0
2252,3,7,2023-01-12,HOMEPAGE,View,64.0
3002,3,8,2024-03-21,HOMEPAGE,View,288.0
1690,3,10,2023-02-15,PRODUCTPAGE,View,85.0
2536,3,12,2024-01-31,HOMEPAGE,View,270.0
2256,3,13,2025-12-15,HOMEPAGE,View,284.0
2158,3,14,2023-06-18,PRODUCTPAGE,View,39.0
2698,3,14,2024-04-03,HOMEPAGE,View,298.0
330,3,14,2024-04-11,CHECKOUT,Purchase,249.0
2836,3,14,2025-07-06,PRODUCTPAGE,View,200.0
2575,3,15,2023-07-16,PRODUCTPAGE,View,229.0
2596,3,17,2024-07-03,HOMEPAGE,View,261.0
2812,3,17,2025-06-28,CHECKOUT,Purchase,71.0
468,3,19,2025-06-25,HOMEPAGE,View,215.0
1348,3,20,2023-07-19,CHECKOUT,Drop-off,149.5
3896,3,20,2025-07-11,PRODUCTPAGE,View,215.0
412,3,20,2025-08-08,PRODUCTPAGE,Click,74.0
2645,4,2,2023-05-13,HOMEPAGE,View,270.0
2485,4,2,2023-08-07,CHECKOUT,Drop-off,188.33333333333334
3270,4,2,2024-07-02,PRODUCTPAGE,View,217.0
2603,4,2,2025-01-16,HOMEPAGE,View,254.0
3604,4,2,2025-06-25,HOMEPAGE,View,127.0
3747,4,3,2023-03-14,PRODUCTPAGE,View,82.0
445,4,3,2025-05-09,PRODUCTPAGE,Click,235.0
922,4,4,2024-08-02,PRODUCTPAGE,View,178.0
2087,4,5,2023-07-01,HOMEPAGE,Click,135.0
2448,4,7,2023-10-23,HOMEPAGE,View,24.0
535,4,7,2025-03-31,HOMEPAGE,View,135.0
2159,4,8,2025-12-15,PRODUCTPAGE,View,259.0
2226,4,9,2024-03-20,HOMEPAGE,View,259.0
1510,4,9,2024-12-07,HOMEPAGE,View,276.0
2757,4,9,2025-02-18,HOMEPAGE,View,28.0
569,4,9,2025-05-09,PRODUCTPAGE,View,54.0
1123,4,10,2024-10-22,HOMEPAGE,Click,236.0
1346,4,11,2023-02-09,HOMEPAGE,Click,111.0
1008,4,11,2024-02-01,HOMEPAGE,Click,219.0
40,4,12,2024-12-22,HOMEPAGE,View,110.0
1344,4,12,2025-09-16,PRODUCTPAGE,Click,254.0
2079,4,13,2023-10-02,PRODUCTPAGE,Click,153.0
1648,4,13,2025-01-03,CHECKOUT,Drop-off,160.0
504,4,13,2025-02-08,HOMEPAGE,Click,281.0
1315,4,14,2025-03-30,PRODUCTPAGE,Click,215.0
1086,4,16,2024-08-15,PRODUCTPAGE,Click,74.0
2671,4,16,2024-09-16,CHECKOUT,Purchase,274.0
3108,4,16,2024-11-05,HOMEPAGE,View,132.0
1569,4,18,2025-11-11,HOMEPAGE,View,277.0
2381,4,19,2023-02-09,HOMEPAGE,View,273.0
3383,4,19,2023-06-14,CHECKOUT,Drop-off,121.75
917,4,19,2023-10-08,PRODUCTPAGE,Click,55.0
3917,5,1,2025-10-04,HOMEPAGE,View,188.0
3081,5,2,2023-03-20,HOMEPAGE,Click,237.0
2202,5,3,2024-09-07,HOMEPAGE,Click,121.0
1619,5,3,2025-02-15,CHECKOUT,Drop-off,142.0
682,5,4,2023-04-20,PRODUCTPAGE,Click,127.0
127,5,4,2023-12-11,HOMEPAGE,View,287.0
1454,5,4,2024-06-08,HOMEPAGE,View,71.0
1745,5,4,2024-07-25,HOMEPAGE,Click,270.0
2614,5,5,2025-07-09,HOMEPAGE,Click,183.0
3202,5,6,2023-12-08,PRODUCTPAGE,View,246.0
3033,5,6,2024-06-07,PRODUCTPAGE,Click,31.0
1472,5,7,2023-08-13,HOMEPAGE,View,35.0
3515,5,8,2023-02-22,HOMEPAGE,View,280.0
1812,5,8,2023-06-27,PRODUCTPAGE,View,227.0
1221,5,9,2023-12-25,HOMEPAGE,Click,31.0
50,5,9,2024-04-19,HOMEPAGE,View,44.0
2307,5,11,2023-06-28,PRODUCTPAGE,View,104.0
1109,5,14,2024-12-29,PRODUCTPAGE,View,205.0
3020,5,15,2023-04-19,HOMEPAGE,View,164.0
850,5,15,2023-08-04,PRODUCTPAGE,View,87.0
2056,5,15,2024-02-15,PRODUCTPAGE,View,129.0
3267,5,15,2024-09-15,PRODUCTPAGE,View,35.0
1111,5,17,2023-03-25,HOMEPAGE,View,164.0
177,5,17,2024-03-06,PRODUCTPAGE,View,237.0
2511,5,19,2023-08-30,HOMEPAGE,View,207.0
2169,5,19,2024-01-13,HOMEPAGE,View,135.0
3712,5,20,2024-05-22,CHECKOUT,Drop-off,234.0
3402,5,20,2025-12-30,HOMEPAGE,View,248.0
288,6,1,2023-04-11,HOMEPAGE,Click,128.0
1077,6,1,2025-03-13,HOMEPAGE,Click,140.0
1085,6,3,2025-12-09,HOMEPAGE,Click,139.0
1639,6,4,2023-04-21,PRODUCTPAGE,View,167.0
3403,6,4,2023-07-25,PRODUCTPAGE,View,46.0
2502,6,4,2024-01-28,HOMEPAGE,View,121.0
365,6,5,2023-06-04,CHECKOUT,Drop-off,150.625
1908,6,7,2023-04-22,PRODUCTPAGE,View,172.0
267,6,7,2025-04-17,CHECKOUT,Drop-off,99.66666666666667
2783,6,8,2023-01-31,PRODUCTPAGE,View,16.0
2939,6,9,2024-01-20,PRODUCTPAGE,View,249.0
1217,6,10,2023-04-29,HOMEPAGE,View,66.0
2439,6,10,2025-01-07,CHECKOUT,Drop-off,108.0
2070,6,10,2025-07-05,HOMEPAGE,View,154.0
952,6,11,2024-02-05,CHECKOUT,Drop-off,94.0
2203,6,11,2024-08-22,PRODUCTPAGE,Click,136.0
3387,6,11,2025-07-06,CHECKOUT,Drop-off,200.0
3572,6,12,2024-08-11,HOMEPAGE,Click,288.0
709,6,13,2024-04-28,HOMEPAGE,Click,196.0
1744,6,14,2025-05-01,CHECKOUT,Purchase,48.0
1355,6,14,2025-07-04,HOMEPAGE,View,43.0
1283,6,14,2025-07-10,CHECKOUT,Drop-off,129.5
1665,6,15,2023-08-24,HOMEPAGE,View,281.0
1845,6,15,2023-10-17,HOMEPAGE,View,291.0
